USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool,Latitude Difference,Longitude Difference,Product
727576,GRAND FORKS INTERNATIONAL AP,ND,47.95,-97.183,-6,256,II,12,14.4558,14.7431,213.123305
727640,BISMARCK MUNICIPAL ARPT [ISIS],ND,46.77,-100.77,-7,502,I,24,13.2758,11.1561,148.1061524
727645,DICKINSON MUNICIPAL AP,ND,46.8,-102.8,-7,788,II,12,13.3058,9.1261,121.4300614
727670,WILLISTON SLOULIN INTL AP,ND,48.2,-103.65,-6,580,I,12,14.7058,8.2761,121.7066714
727675,MINOT AFB,ND,48.417,-101.35,-6,497,II,12,14.9228,10.5761,157.8250251
727676,MINOT FAA AP,ND,48.267,-101.283,-6,523,I,21,14.7728,10.6431,157.2283877
727680,GLASGOW INTL ARPT,MT,48.217,-106.617,-7,699,I,24,14.7228,5.3091,78.16481748
727686,WOLF POINT INTL [FORT PECK - SURFRAD],MT,48.31,-105.1,-7,634,II,12,14.8158,6.8261,101.1341324
727687,SIDNEY-RICHLAND,MT,47.7,-104.2,-7,605,II,12,14.2058,7.7261,109.7554314
727720,HELENA REGIONAL AIRPORT,MT,46.6,-111.967,-7,1167,I,24,13.1058,0.0409,0.53602722
727730,MISSOULA INTERNATIONAL AP,MT,46.917,-114.1,-7,973,I,24,13.4228,2.1739,29.17982492
727750,GREAT FALLS INTL ARPT,MT,47.467,-111.383,-7,1117,I,24,13.9728,0.5431,7.58862768
727770,HAVRE CITY-COUNTY AP,MT,48.55,-109.767,-7,788,II,12,15.0558,2.1591,32.50697778
727790,KALISPELL GLACIER PK INT'L AR,MT,48.317,-114.25,-7,906,I,24,14.8228,2.3239,34.44670492
727796,CUT BANK MUNI AP,MT,48.6,-112.367,-7,1170,II,21,15.1058,0.4409,6.66014722
727810,YAKIMA AIR TERMINAL,WA,46.567,-120.55,-8,324,I,24,13.0728,8.6239,112.7385199
727815,STAMPEDE PASS,WA,47.283,-121.333,-8,1206,II,12,13.7888,9.4069,129.7098627
727825,WENATCHEE/PANGBORN,WA,47.4,-120.2,-8,379,II,12,13.9058,8.2739,115.0551986
727826,EPHRATA AP FCWOS,WA,47.3,-119.517,-8,384,II,12,13.8058,7.5909,104.7984472
727827,MOSES LAKE GRANT COUNTY AP,WA,47.2,-119.317,-8,364,II,12,13.7058,7.3909,101.2981972
727830,LEWISTON NEZ PERCE CNTY AP,ID,46.367,-117.017,-8,438,I,12,12.8728,5.0909,65.53413752
727834,COEUR D`ALENE(AWOS),ID,47.767,-116.817,-8,707,II,12,14.2728,4.8909,69.80683752
727840,HANFORD,WA,46.567,-119.6,-8,223,II,12,13.0728,7.6739,100.3193599
727845,PASCO,WA,46.267,-119.117,-8,136,II,12,12.7728,7.1909,91.84792752
727846,WALLA WALLA CITY COUNTY AP,WA,46.1,-118.283,-8,355,II,12,12.6058,6.3569,80.13381002
727850,SPOKANE INTERNATIONAL AP [CHENEY - UO],WA,47.49,-117.589,-8,777,I,24,13.9958,5.6629,79.25681582
727855,FAIRCHILD AFB,WA,47.633,-117.65,-8,743,II,12,14.1388,5.7239,80.92907732
727856,FELTS FLD,WA,47.683,-117.317,-8,610,II,12,14.1888,5.3909,76.49040192
727857,PULLMAN/MOSCOW RGNL,WA,46.75,-117.117,-8,778,II,12,13.2558,5.1909,68.80953222
727885,WILLIAM R FAIRCHILD,WA,48.117,-123.5,-8,91,III,12,14.6228,11.5739,169.2428249
727910,ASTORIA REGIONAL AIRPORT,OR,46.15,-123.883,-8,3,II,24,12.6558,11.9569,151.324135
727920,OLYMPIA AIRPORT,WA,46.967,-122.9,-8,63,I,24,13.4728,10.9739,147.8491599
727923,HOQUIAM AP,WA,46.983,-123.933,-8,4,II,12,13.4888,12.0069,161.9586727
727924,KELSO WB AP,WA,46.133,-122.9,-8,5,II,12,12.6388,10.9739,138.6969273
727926,TOLEDO-WINLOCK MEM,WA,46.483,-122.8,-8,113,II,12,12.9888,10.8739,141.2389123
727928,BREMERTON NATIONAL,WA,47.483,-122.75,-8,137,II,12,13.9888,10.8239,151.4133723
727930,SEATTLE SEATTLE-TACOMA INTL A,WA,47.467,-122.317,-8,122,I,24,13.9728,10.3909,145.1899675
727934,RENTON MUNI,WA,47.483,-122.217,-8,10,II,12,13.9888,10.2909,143.9573419
727935,SEATTLE BOEING FIELD [ISIS],WA,47.68,-122.25,-8,20,II,12,14.1858,10.3239,146.4527806
727937,SNOHOMISH CO,WA,47.9,-122.283,-8,189,II,12,14.4058,10.3569,149.19943
727938,TACOMA NARROWS,WA,47.267,-122.583,-8,91,II,12,13.7728,10.6569,146.7753523
727970,QUILLAYUTE STATE AIRPORT,WA,47.933,-124.567,-8,55,I,24,14.4388,12.6409,182.5194269
727976,BELLINGHAM INTL AP,WA,48.8,-122.533,-8,45,II,12,15.3058,10.6069,162.34709
742060,TACOMA MCCHORD AFB,WA,47.15,-122.483,-8,88,II,12,13.6558,10.5569,144.162915
742070,GRAY AAF,WA,47.083,-122.583,-8,90,II,12,13.5888,10.6569,144.8144827
742300,MILES CITY MUNICIPAL ARPT,MT,46.433,-105.883,-7,801,II,22,12.9388,6.0431,78.19046228
743700,FORT DRUM/WHEELER-S,NY,44.05,-75.717,-5,211,II,12,10.5558,36.2091,382.2160178
743920,NAVAL AIR STATION,ME,43.9,-69.933,-5,21,II,12,10.4058,41.9931,436.9718
743945,MANCHESTER AIRPORT,NH,42.933,-71.433,-5,69,II,12,9.4388,40.4931,382.2062723
744655,AURORA MUNICIPAL,IL,41.767,-88.467,-6,215,II,12,8.2728,23.4591,194.0724425
744860,NEW YORK J F KENNEDY INT'L AR,NY,40.65,-73.8,-5,5,I,12,7.1558,38.1261,272.8227464
744864,REPUBLIC,NY,40.717,-73.417,-5,26,II,12,7.2228,38.5091,278.1435275
744865,WESTHAMPTON GABRESKI AP,NY,40.85,-72.633,-5,20,II,12,7.3558,39.2931,289.032185
744904,LAWRENCE MUNI,MA,42.717,-71.117,-5,46,II,12,9.2228,40.8091,376.3741675
